GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
locadoraFilmes,br.com.locadora.filmes.aluguel.facade,AluguelFacade,0,330,0,36,0,73,0,27,0,9
locadoraFilmes,br.com.locadora.filmes.aluguel.mapper,AluguelMapper,0,5,0,0,0,1,0,1,0,1
locadoraFilmes,br.com.locadora.filmes.aluguel.controller,AluguelController,0,35,0,0,0,7,0,7,0,7
locadoraFilmes,br.com.locadora.filmes.filme.facade,FilmeFacade,0,150,0,30,0,30,0,21,0,6
locadoraFilmes,br.com.locadora.filmes.filme.mapper,FilmeMapper,0,5,0,0,0,1,0,1,0,1
locadoraFilmes,br.com.locadora.filmes.filme.controller,FilmeController,0,23,0,0,0,5,0,5,0,5
